Date,Workload sum,Scheduled Hours,Planned Absences,Unplanned Absences,Unpaid Absences,Actual Work Hours,EWH by Load,Daily remain,Rough esteam of merged workload,Max Temp(C),Max Temp Flag,Min Temp(C),Min Temp Flag,Mean Temp(C),Mean Temp Flag,Heat Deg Days(C),Heat Deg Days Flag,Cool Deg Days(C),Cool Deg Days Flag,Total Rain(mm),Total Rain Flag,Total Snow(cm),Total Snow Flag,Total Precip(mm),Total Precip Flag,Snow on Grnd(cm),Snow on Grnd Flag,Dir of Max Gust(10s deg),Dir of Max Gust Flag,Spd of Max Gust(km/h),Spd of Max Gust Flag,Workload sum_ST,Scheduled Hours_ST,Planned Absences_ST,Unplanned Absences_ST,Unpaid Absences_ST,Actual Work Hours_ST,EWH by Load_ST,Daily remain_ST,Rough esteam of merged workload_ST,Max Temp(C)_ST,Max Temp Flag_ST,Min Temp(C)_ST,Min Temp Flag_ST,Mean Temp(C)_ST,Mean Temp Flag_ST,Heat Deg Days(C)_ST,Heat Deg Days Flag_ST,Cool Deg Days(C)_ST,Cool Deg Days Flag_ST,Total Rain(mm)_ST,Total Rain Flag_ST,Total Snow(cm)_ST,Total Snow Flag_ST,Total Precip(mm)_ST,Total Precip Flag_ST,Snow on Grnd(cm)_ST,Snow on Grnd Flag_ST,Dir of Max Gust(10s deg)_ST,Dir of Max Gust Flag_ST,Spd of Max Gust(km/h)_ST,Spd of Max Gust Flag_ST,Workload sum_NT,Scheduled Hours_NT,Planned Absences_NT,Unplanned Absences_NT,Unpaid Absences_NT,Actual Work Hours_NT,EWH by Load_NT,Daily remain_NT,Rough esteam of merged workload_NT,Max Temp(C)_NT,Max Temp Flag_NT,Min Temp(C)_NT,Min Temp Flag_NT,Mean Temp(C)_NT,Mean Temp Flag_NT,Heat Deg Days(C)_NT,Heat Deg Days Flag_NT,Cool Deg Days(C)_NT,Cool Deg Days Flag_NT,Total Rain(mm)_NT,Total Rain Flag_NT,Total Snow(cm)_NT,Total Snow Flag_NT,Total Precip(mm)_NT,Total Precip Flag_NT,Snow on Grnd(cm)_NT,Snow on Grnd Flag_NT,Dir of Max Gust(10s deg)_NT,Dir of Max Gust Flag_NT,Spd of Max Gust(km/h)_NT,Spd of Max Gust Flag_NT,holiday,NATIONAL_HOLIDAY_IND,PROVINCIAL_HOLIDAY_IND,IMPACT_DAY_FLG,DAY_OF_WEEK,WEEK_OF_YEAR,DAY_OF_MONTH,MONTH_NO,YEAR_NO,PreviousDayHoliday,NextDayHoliday,Holiday_with_weekend
1/12/2019,4,4117.96,541.42,376.44,197.7,3200.1,1.155579746,-11073.03735,187795.4886,11.3,0,-0.2,0,5.6,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.340431533,-1.064090875,-0.830581482,-0.717059944,-0.186929254,-1.014951761,-1.340431533,-1.294642234,0.694400729,-0.343540136,-0.119416287,-1.13057867,-0.119416287,-0.719493344,-0.119416287,0.769990027,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,3.89E-05,0.212894347,0.168996236,0.101801071,0.127994303,0.180966125,3.89E-05,0.073473629,0.684424717,0.489304813,0,0.417956656,0,0.455331412,0,0.439716312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,1,2019,0,0,1
1/13/2019,1286,6316.97,693.5,541.26,233.57,5082.21,371.5188882,-16305.89712,171489.5914,8.7,0,0.8,0,4.8,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28542633,-0.278270464,-0.513965972,-0.143169417,0.077007557,-0.20989672,-1.28542633,-1.588837383,0.690053446,-0.715232299,-0.119416287,-0.963663538,-0.119416287,-0.845693009,-0.119416287,0.90385275,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.012503889,0.326580929,0.216465756,0.146373519,0.151217144,0.287399722,0.012503889,0.017508333,0.683226422,0.419786096,0,0.448916409,0,0.432276657,0,0.468085106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,1,2019,0,0,1
1/14/2019,70703,9388.93,880.5,610.76,224.01,7897.67,20425.73869,43365.48382,214855.0753,4.9,0,-1.9,0,1.5,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692963855,0.81950029,-0.124650477,0.098824222,0.006663651,0.9943901,1.692963855,1.765930677,0.701615032,-1.258474689,-0.119416287,-1.414334394,-0.119416287,-1.366266626,-0.119416287,1.456036482,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.687451385,0.485398139,0.274835037,0.165168479,0.145027839,0.446614399,0.687451385,0.655692166,0.686413283,0.318181818,0,0.365325077,0,0.337175793,0,0.585106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,1,2019,0,0,0
1/15/2019,45940,10685.71,916.57,682.55,216.29,9086.59,13271.83338,14487.07766,229342.1529,5.3,0,-2,0,1.7,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630488148,1.282907092,-0.049556306,0.348791465,-0.050141261,1.502939568,0.630488148,0.142365861,0.705477404,-1.20129128,-0.119416287,-1.431025907,-0.119416287,-1.33471671,-0.119416287,1.422570801,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.446678594,0.552440347,0.286093753,0.184582725,0.140029781,0.513848,0.446678594,0.34683838,0.687477916,0.328877005,0,0.362229102,0,0.342939481,0,0.578014184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,1,2019,0,0,0
1/16/2019,48503,10384.44,900.5,697.05,273.13,8786.89,14012.2711,18087.47902,247429.6319,7.2,0,-1.8,0,2.7,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74045565,1.175247684,-0.083012456,0.399279347,0.368095939,1.374745682,0.740455649,0.344783021,0.710299671,-0.929670084,-0.119416287,-1.397642881,-0.119416287,-1.176967129,-0.119416287,1.255242398,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.471598864,0.536864994,0.28107774,0.188503975,0.176828952,0.496899921,0.471598864,0.385344577,0.688807136,0.379679144,0,0.368421053,0,0.371757925,0,0.542553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16,1,2019,0,0,0
1/17/2019,45430,10329.65,927.5,659.06,304.72,8743.09,13124.49696,15166.09123,262595.7232,10.4,0,0.1,0,5.3,0,12.7,0,0,0,12.2,0,0,0,12.2,0,0,0,9,0,41,0,0.608606203,1.155668373,-0.026801128,0.267001097,0.600539872,1.356010639,0.608606203,0.180540493,0.714343072,-0.472202808,-0.119416287,-1.08050413,-0.119416287,-0.766818218,-0.119416287,0.820188548,-0.119416287,-0.29890942,-0.119416287,1.652572765,0,-0.108600832,0,1.597319293,0,-0.138702509,0,-0.173885495,-0.084140632,0.806089824,-0.084140632,0.44171982,0.534032407,0.289505391,0.178230299,0.197280849,0.494423025,0.44171982,0.354100412,0.689921668,0.465240642,0,0.427244582,0,0.446685879,0,0.45035461,0,0,0,0.222627737,0,0,0,0.222627737,0,0,0,0.264705882,0,0.436170213,0,0,0,0,0,5,2,17,1,2019,0,0,0
1/18/2019,40937,8095.95,796.25,456.85,354.09,6842.85,11826.49201,17250.70738,279846.4306,9.8,0,6.8,0,8.3,0,9.7,0,0,0,7.4,0,0,0,7.4,0,0,0,13,0,50,0,0.415830556,0.357451425,-0.30005064,-0.437078526,0.963811698,0.543200659,0.415830555,0.297739116,0.718942249,-0.557977922,-0.119416287,0.037827252,-0.119416287,-0.293569475,-0.119416287,0.318203338,-0.119416287,-0.29890942,-0.119416287,0.821822682,0,-0.108600832,0,0.782025102,0,-0.138702509,0,0.180582384,-0.084140632,1.223796476,-0.084140632,0.398033992,0.418552387,0.248537647,0.123546433,0.229243817,0.386964173,0.398033992,0.376395326,0.691189395,0.449197861,0,0.634674923,0,0.53314121,0,0.343971631,0,0,0,0.135036496,0,0,0,0.135036496,0,0,0,0.382352941,0,0.531914894,0,0,0,0,0,6,2,18,1,2019,0,0,0
1/19/2019,3,3440.97,384.75,191.15,84.54,2865.07,0.866684809,-9914.342393,269932.0882,9.6,0,4.2,0,6.9,0,11.1,0,0,0,2,0,0,0,2,0,0,0,21,0,63,0,-1.340474439,-1.30601454,-1.156752919,-1.362225433,-1.019577417,-1.158257726,-1.340474439,-1.229499568,0.716299006,-0.586569627,-0.119416287,-0.396152091,-0.119416287,-0.514418889,-0.119416287,0.552463103,-0.119416287,-0.29890942,-0.119416287,-0.11277116,0,-0.108600832,0,-0.135180864,0,-0.138702509,0,0.889518142,-0.084140632,1.827150529,-0.084140632,2.92E-05,0.177894652,0.120094015,0.051692898,0.054732617,0.16202013,2.92E-05,0.085865841,0.690460806,0.443850267,0,0.554179567,0,0.492795389,0,0.393617021,0,0,0,0.03649635,0,0,0,0.03649635,0,0,0,0.617647059,0,0.670212766,0,0,0,0,0,7,2,19,1,2019,0,0,1
1/20/2019,0,6371.9,639.57,548.7,319.27,5183.63,0,-17942.959,251989.1292,7.3,0,1.9,0,4.6,0,13.4,0,0,0,0,0,0,0,0,0,0,0,30,0,46,0,-1.340603156,-0.258641124,-0.626242895,-0.117263911,0.707600943,-0.166515258,-1.340603156,-1.680874183,0.711515269,-0.915374232,-0.119416287,-0.780056893,-0.119416287,-0.877242925,-0.119416287,0.937318431,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,1.687070869,-0.084140632,1.038149075,-0.084140632,0,0.329420754,0.199632305,0.148385527,0.206700764,0.293135038,0,0,0.689142206,0.382352941,0,0.482972136,0,0.426512968,0,0.475177305,0,0,0,0,0,0,0,0,0,0,0,0.882352941,0,0.489361702,0,0,0,0,0,1,3,20,1,2019,0,0,1
1/21/2019,71255,9488.19,830.06,673.24,305.13,7984.89,20585.20869,43615.57475,295604.7039,7,0,-1.6,0,2.7,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.716647843,0.85497104,-0.229661566,0.316374763,0.603556713,1.031697643,1.716647842,1.779990969,0.723143531,-0.958261789,-0.119416287,-1.364259854,-0.119416287,-1.176967129,-0.119416287,1.255242398,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.692818528,0.49052978,0.259090937,0.182065012,0.19754629,0.451546703,0.692818528,0.658366882,0.692347446,0.374331551,0,0.374613003,0,0.371757925,0,0.542553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,21,1,2019,0,0,0
